channel,watch_time_min,stream_time_min,peak_viewers,avg_viewers,followers,followers_gained,views_gained,partnered,mature,language,avg_to_peak_ratio,watch_per_follower,views_per_follower,follower_growth_rate,viewers_per_stream_hr,stickiness,avg_to_peak_ratio_scaled,watch_per_follower_scaled,views_per_follower_scaled,follower_growth_rate_scaled,viewers_per_stream_hr_scaled,stickiness_scaled,engagement_efficiency_score
TimTheTatman,2834436990,108780,142067,25664,5265659,1244341,50119786,True,True,English,0.18064715943885631,538.2872286260846,9.518236178985385,0.23631249194070486,14.155543298400442,1.0152977083112682,0.37500616988403185,0.07932622663967324,0.011188215180481397,0.22500995040477206,0.14667030985215398,0.20539818397538792,0.1737665093227501
LIRIK,2832930285,128490,89170,21739,2666382,199077,50504526,True,False,English,0.24379275541101267,1062.4622747228266,18.941219225152285,0.07466184515196997,10.151295820686435,1.0142079150396919,0.5180525983279956,0.17749481981585907,0.026899330888233132,0.05945415514360604,0.10501881084445863,0.20405855964563124,0.18182971244429727
Riot Games (riotgames),2674646715,80820,639375,20960,4487489,497678,56855694,True,False,English,0.03278201368523949,596.0230130926226,12.669823591768136,0.11090344733992663,15.560504825538233,1.5789060950401514,0.04004090958737296,0.09013910447353614,0.016442915763378606,0.09657128019666898,0.16128447992508807,0.8982116991706285,0.21711506485277887
Rubius,2588632635,58275,240096,42948,5751354,3820532,58599449,True,False,Spanish,0.17887844862055177,450.09099335565156,10.188809278649861,0.6642839234030804,44.21930501930502,1.034296834254923,0.37099943336324226,0.06280865220646308,0.0123062742396686,0.6633202949183507,0.45938842941271574,0.22875278894685797,0.2995959788478831
auronplay,2410022550,40575,170115,53986,3983847,3966525,41514854,True,False,Spanish,0.3173500279222879,604.9485710671117,10.420795276525428,0.9956519414525709,79.83142329020333,1.1002247929958975,0.6846850444522973,0.09181070154057082,0.012693068828743437,1.0,0.8298196070753545,0.3097944872616722,0.48813381819310636
MontanaBlack88,2408460990,67740,181600,33514,2911316,1101093,37189666,True,True,German,0.18454845814977974,827.2757028093138,12.774177038837419,0.37821143427920567,29.684676705048716,1.0608846332770097,0.3838439492778112,0.1334485893235775,0.016616906215592694,0.37033688049909674,0.30820170577043,0.26143574210287146,0.24564729553156325
sodapoppin,2329440420,115305,107833,19659,2786162,236169,39334821,True,True,English,0.18230968256470653,836.0750092779961,14.117923150197296,0.08476499212895733,10.22973851957851,1.0276424697128714,0.3787723548680683,0.13509654174593916,0.018857359215877393,0.06980137345447116,0.1058347584134459,0.2205729360590637,0.1548225539594776
풍월량 (hanryang1125),2186662470,181230,26999,12201,494445,92205,34405975,True,False,Korean,0.4519056261343013,4422.458453417468,69.58503979209011,0.1864818129417832,4.039397450753187,0.9889087818221526,0.9894996155247858,0.8067618946146403,0.11133871923388466,0.1739754642832772,0.04144388689002278,0.17295969414158135,0.38266321244803203
alanzoka,2055003870,103770,89153,19560,3445134,1325075,46515698,True,False,Portuguese,0.2193981133556919,596.4946124011432,13.501854499708864,0.38462219466644837,11.309627059843885,1.012446251768452,0.4627903687859503,0.09022742657319553,0.017830176443254287,0.3769025117243515,0.11706757474500867,0.20189304161524552,0.21111851664783432
CohhCarnage,2029212570,175230,43615,11343,1264808,124242,38718674,True,False,English,0.2600710764645191,1604.3641169252567,30.612293723632362,0.09822992896945623,3.883923985618901,1.02091868135736,0.5549285775933593,0.27898332424721617,0.04635873148155171,0.08359159558506096,0.03982667843455024,0.212307744206531,0.20266610859137824
Lord_Kebun,1943299035,153720,34830,12367,434200,137215,19645967,True,False,English,0.3550674705713465,4475.585064486412,45.246354214647624,0.3160179640718563,4.827088212334114,1.0222212348758473,0.7701279859262666,0.8167115568652429,0.0707583739856423,0.30664094345972265,0.049637311786200504,0.2139089032792528,0.3712975125503879
LCK_Korea,1916365860,47325,140557,39848,619382,255088,76225485,True,False,Korean,0.283500643866901,3093.996693478338,123.06700065549208,0.4118427723117559,50.52044374009509,1.0162048748795343,0.608004582108,0.5579648123561401,0.20051019192842182,0.40478068276208884,0.5249317992061757,0.20651331510868373,0.417117563911585
Castro_1021,1845157080,100215,125133,17779,2411995,550678,22672980,True,False,English,0.14208082600113478,764.9920833169223,9.40009411296458,0.22830810179954766,10.644514294267326,1.0356029603566461,0.2876401996764237,0.121783983484328,0.010991234706239668,0.21681219059542334,0.11014918524745619,0.2303583396042479,0.16295585555235312
DrDisrespect,1839882465,73065,97540,23794,4450718,825004,43919410,True,False,English,0.2439409473036703,413.3900339226165,9.867938161887588,0.1853642490941911,19.53931430917676,1.0583108156133894,0.5183883037820762,0.0559352201677079,0.011771279830994769,0.17283090238254417,0.20267137725896342,0.2582718863033619,0.20331149495427472
TheRealKnossi,1811696100,56010,288459,24595,1260160,1082039,25342894,True,True,German,0.08526341698473613,1437.6714861604876,20.110854177247333,0.8586520759268664,26.34708087841457,1.315142915662223,0.1589292847169787,0.24776478155452447,0.028849485099289588,0.8623839838287589,0.27348460348470827,0.573981790981204,0.357565654944244
TheGrefg,1757406750,54855,538444,28887,3795667,3593081,47094362,True,False,Spanish,0.05364903313993656,463.00340625244525,12.407400859980605,0.9466270355118086,31.59639048400328,1.1090563923001755,0.08731186426458147,0.06522691575797585,0.01600537343912118,0.9524842382136924,0.3280870262982664,0.3206506978910147,0.29496101931077534
YoDa,1690237110,135675,123796,12868,1792625,383130,38499423,True,False,Portuguese,0.10394520016801835,942.8838212119099,21.476562582804547,0.21372568161216093,5.690657822001105,0.968136848311202,0.20124992988931004,0.1550999182600454,0.03112655624306998,0.2018774890095369,0.058620015512758125,0.14742587205520746,0.13256663016165462
Pestily,1659741015,138300,168112,8481,616168,520342,24029726,True,False,English,0.05044851051679833,2693.6501327560018,38.99865945651186,0.8444807260357565,3.6793926247288504,1.4150477103214765,0.08006158301621215,0.4829870755453292,0.060341475772956454,0.8478702831553977,0.03769917811830656,0.6967893886013427,0.3676248307015908
