channel,watch_time_min,stream_time_min,peak_viewers,avg_viewers,followers,followers_gained,views_gained,partnered,mature,language,avg_to_peak_ratio,watch_per_follower,views_per_follower,follower_growth_rate,viewers_per_stream_hr,stickiness,avg_to_peak_ratio_scaled,watch_per_follower_scaled,views_per_follower_scaled,follower_growth_rate_scaled,viewers_per_stream_hr_scaled,stickiness_scaled,engagement_efficiency_score,cluster
Gorgc,1252711830,141135,56449,8683,391726,136943,20882507,True,True,English,0.153820262537866,3197.928730796526,53.30896340809648,0.3495887431521012,3.6913593368051862,1.02222535787658,0.3142340490600679,0.5774294205351,0.0842013129492421,0.3410227237901814,0.0378236538154124,0.2139139714625835,0.2614375219354312,0
서새봄냥 (saddummy),1241997345,182310,25482,6681,580794,97615,30550147,True,False,Korean,0.2621850718153991,2138.447272182564,52.60065875336178,0.1680716398585384,2.198782293895014,1.0196912781997889,0.5597175019836504,0.379007528720757,0.0830203433632464,0.1551205391330198,0.0222981220974844,0.2107989634357301,0.2349938331223147,1
NoWay4u_Sir,1234567245,139920,24286,8479,383892,108832,23037239,True,False,German,0.3491311866919213,3215.923345628458,60.00968762047659,0.2834964000291748,3.635934819897084,1.0406155673273714,0.7566802672990532,0.5807994894385176,0.0953735556361545,0.2733337250527359,0.0372471374477683,0.2365200680977432,0.3299923738286621,0
RiotGamesBrazil,1228613130,38370,255542,25918,1011924,325801,33796768,True,False,Portuguese,0.1014236407322475,1214.1357750186774,33.398523999826075,0.3219619259944423,40.528537920250194,1.2354405947765374,0.1955377330869354,0.2059005485071166,0.0510042652836662,0.3127284993256877,0.4209976998138355,0.4760080091811948,0.2770294591997394,1
JLTomy,1228169940,121455,42079,10053,428073,277529,13890640,True,False,French,0.2389077687207395,2869.066584437701,32.44923178990499,0.6483216647627857,4.966283808818081,1.005882801637919,0.5069864283397039,0.5158394335692031,0.0494214926438911,0.646972420809241,0.0510852006295088,0.1938249449300012,0.3273549868202582,0
SolaryFortnite,1223349555,381735,46710,3180,1478270,447191,26737542,True,False,French,0.0680796403339756,827.5548817198483,18.08704905057939,0.3025096903813241,0.4998231757632912,1.007770096859152,0.1200021380296001,0.1335008745307725,0.0254751569954143,0.2928063375495817,0.0046258392486288,0.196144895568107,0.1287592069870174,1
ONSCREEN,1197130335,134880,88516,4134,918654,669348,22820310,True,False,English,0.0467034208504677,1303.1351684094338,24.84102828703734,0.7286181739806282,1.8389679715302487,2.146957296449717,0.0715776706748477,0.2225685400640668,0.0367361927790782,0.7292087291961113,0.0185553949123289,1.0,0.3464410879377388,1
AdmiralBahroo,1188645990,141210,21053,8152,778055,72454,12853095,True,False,English,0.387213223768584,1527.714608864412,16.519519828289773,0.0931219515329893,3.4637773528786915,1.032578089801317,0.8429491401764151,0.2646282449087176,0.0228615862327361,0.07836021987782,0.0354563848515332,0.2266400287135758,0.245149267460133,1
Quin69,1186941750,174270,36742,6616,538532,87860,19512632,True,True,English,0.1800664090142071,2204.031979529536,36.23300379550333,0.1631472224491766,2.277844723704596,1.0294642710317123,0.3736905710242158,0.3912903691613069,0.0557302464111909,0.1500771578871017,0.0231205160017293,0.222812378561009,0.2027868731744256,1
Trymacs,1184154975,107880,50957,10735,1607134,582089,21254933,True,False,German,0.2106678179641658,736.8116006505992,13.22536453089786,0.3621907071843418,5.970522803114572,1.0225052754885235,0.4430132559755928,0.1165062840612458,0.0173691795518516,0.3539291254573326,0.0615311232921881,0.2142580591469796,0.2011011712475318,1
dasMEHDI,1172969025,231465,47683,5013,299048,76568,7422911,True,True,English,0.1051318079818803,3922.3436538615874,24.82180452636366,0.2560391642813194,1.2994621217030653,1.0108890884090194,0.2039380034932317,0.7130993544678326,0.0367041406436978,0.2452131787375057,0.0129435471197565,0.1999789043415914,0.2353128548006026,0
sneakylol,1149209820,174885,22759,6775,1659108,183911,17820367,True,False,English,0.2976844325321851,692.6672766329859,10.740932476969553,0.1108493238535405,2.3243845955913884,0.9699234678940836,0.6401357272676325,0.1082388432172134,0.0132268395650262,0.096515849197728,0.0236046158078725,0.1496220675389492,0.1718906570990703,1
NickEh30,1148114400,117885,85073,9702,1660204,1445590,39439261,True,False,English,0.114043233458324,691.5501950362726,23.755671592165783,0.8707303439818239,4.938032828604148,1.003841962160905,0.2241254380581364,0.108029633851699,0.0349265572810872,0.8747540380966481,0.0507913387538639,0.1913162505859982,0.2473238761045721,1
fps_shaka,1131509385,215160,26572,5195,303671,128907,21331882,True,False,Japanese,0.1955065482462742,3726.102871199423,70.24668802750345,0.4244955889762276,1.4486893474623537,1.0123042797704902,0.4086677810389667,0.6763469724130355,0.1124418977001387,0.4177391655568902,0.0144957832590629,0.2017185230642741,0.3052350205053947,0
LVPes,1115650275,90960,233009,12947,587677,158934,51523747,True,False,Spanish,0.0555643773416477,1898.4072458170049,87.67358089562804,0.2704444788548811,8.54023746701847,0.9473456758862444,0.0916507756815621,0.3340523331811121,0.1414980818125652,0.2599664962007519,0.0882608567488118,0.1218684006052764,0.1728828240383466,1
Vader,1110952500,184305,16289,5913,424374,57681,11535871,True,True,English,0.3630057093744244,2617.861838849694,27.183265233025587,0.1359202024629218,1.9249613412549849,1.0194137667842105,0.7881108189557671,0.4687932861854435,0.0406414482054223,0.1221923888746575,0.0194498832709263,0.2104578335592751,0.2749409431752487,1
forsen,1106781045,109140,33966,10080,1308165,164792,18534278,True,True,English,0.296767355590885,846.0561511735905,14.168150042234734,0.125971876636357,5.54150632215503,1.0060445926813093,0.6380582335162214,0.1369658307658547,0.0189411034514952,0.1120037318760459,0.0570685670614796,0.194023825968924,0.1928435487733368,1
Papaplatte,1105525440,125550,42230,8546,919026,552959,23472239,True,False,German,0.202367984844897,1202.9316254382356,25.540342710652364,0.6016793866550021,4.084109916367981,1.0303603438108924,0.4242112878238336,0.2038022120635223,0.0379021727847394,0.5992033608127255,0.0419089783279399,0.2239138726952918,0.2551569807513421,1
StarLadder_cs_en,1088832810,32880,329195,29956,820675,260993,29821162,True,False,English,0.0909977369036589,1326.752746215006,36.3373588814086,0.3180223596429768,54.66423357664234,1.105466454205828,0.1719194857171985,0.22699168917173,0.0559042395958668,0.3086937611216804,0.5680347940199675,0.3162377798276171,0.2746302915756768,1
Symfuhny,1076179485,137400,45671,7327,2355063,704327,18756705,True,True,English,0.1604300321867268,456.9642022315327,7.964417512397757,0.2990692817984062,3.1995633187772925,1.0689854268742218,0.3292074439033719,0.0640958810644098,0.0085975042835162,0.2892828157432464,0.0327080755523597,0.2713936125322471,0.1658808888465252,1
DreamHackCS,1052904720,314595,212201,5001,1801697,275934,28759226,True,False,English,0.0235672781937879,584.3961109997963,15.962298877114188,0.1531522781022558,0.953797739951366,0.6692377063613645,0.0191663738289457,0.0879615940598882,0.0219325213287867,0.139840756160184,0.0093480052024158,0.0,0.0463748750967034,1
Mizkif,1052047935,123120,32671,7899,591653,365303,13585178,True,False,English,0.2417740503810719,1778.1502586820316,22.961394601227408,0.6174277828389275,3.8494152046783623,1.0817696869616331,0.5134795391911046,0.3115303544364997,0.0336022444124873,0.6153322059866341,0.0394677239835326,0.287108616742414,0.300086780792112,1
Rainbow6,1031011170,82380,135471,11535,1501197,428942,16786627,True,True,English,0.0851473747148836,686.7927194099109,11.182161301947712,0.2857333181454533,8.401310997815004,1.0849856243593157,0.158666409183137,0.1071386439184931,0.0139625086295744,0.275624682528202,0.0868157673215534,0.2910617958391046,0.1555449679033441,1
stylishnoob4,1029543660,118515,25263,8485,354579,124038,20638084,True,False,Japanese,0.3358666825000989,2903.566370258814,58.20447347417642,0.3498176710972731,4.295658777369953,1.0238105512702609,0.7266316167081738,0.5223006252343885,0.0923636883583682,0.3412571821655319,0.0441094734829329,0.2158625645516863,0.3237541917501803,0
Maximilian_DOOD,1023316710,110040,43253,9235,833047,133195,15517436,True,False,English,0.2135112015351536,1228.402130972202,18.62732354837122,0.1598889378390414,5.035441657579062,1.006984033172364,0.4494544948025316,0.2085723813311647,0.0263759667609808,0.1467401597956364,0.0518045687717313,0.1951786297018881,0.1796877001939888,1
Trainwreckstv,1021699920,148425,49379,7134,728097,379973,12449595,True,True,English,0.1444743716964701,1403.246984948434,17.098813756958208,0.5218713990031548,2.88388074785245,0.9649019782003156,0.2930624014588903,0.241317689347553,0.0238274538245079,0.5174673756721102,0.0294243993153632,0.1434494199911587,0.2080914566015972,1
dota2ti,1017577605,6315,483530,147643,663297,121422,16228039,True,False,English,0.3053440324281844,1534.120620174673,24.46572048418733,0.1830582680156852,1402.7838479809975,1.0913934030026815,0.6574873476231612,0.2658279760345732,0.0361104350665036,0.1704692135251641,1.0,0.2989385339271752,0.4048055843627628,1
GRONKH,1017544335,54645,100330,17860,1216020,192000,16800930,True,False,German,0.1780125585567626,836.782565253861,13.816327034094837,0.157892139931909,19.610211364260223,1.042608967357976,0.3690378954421374,0.1352290543011653,0.0183545023759702,0.1446951233416642,0.2034088363285869,0.2389704476785173,0.1849493099113402,1
SypherPK,1016450160,145230,130401,6553,3611359,1118169,26996445,True,False,English,0.0502526821113335,281.4591847556557,7.475425456178685,0.3096255453971759,2.7072918818425946,1.0680450787349636,0.0796179645253522,0.0312269362543417,0.0077821986910314,0.3000940970452313,0.0275875520629604,0.2702376930761013,0.119424406942503,1
ZeratoR,1011013035,84960,262273,10516,880728,240442,31456198,True,True,French,0.040095625550476,1147.928798675641,35.716132563061464,0.273003696941621,7.426553672316384,1.1315967040001462,0.0566087484087658,0.1935011682343568,0.0548684573472484,0.2625875397537091,0.0766765079471733,0.3483582922955052,0.1654334523311265,1
SilverName,1006608690,95625,29927,10618,614395,108466,27464678,True,False,Russian,0.3547966719016273,1638.3738311672455,44.701988134669065,0.1765411502372252,6.662274509803922,0.9913945021218132,0.7695145340784482,0.285352734287472,0.0698507422486418,0.1637946555320016,0.0687266065097218,0.1760152565837854,0.2555424215400118,1
